en-fk	=	en-150
en-fm	=	en-001
en-gb	=	en-150
en-gd	=	en-001
en-gg	=	en-150
en-gh	=	en-001
en-gi	=	en-150
en-gm	=	en-001
en-gu	=	ceb
en-gy	=	en-001
en-hk	dddd, d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-id	=	en-dk
en-ie	dddd d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	d/M/yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-il	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	MMMM yyyy	d MMMM	H:mm:ss	H:mm
en-im	=	en-150
en-in	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	d/M/yyyy	dd/MM/yy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-io	=	en-150
en-je	=	en-150
en-jm	=	en-001
en-ke	=	en-150
en-ki	=	en-001
en-kn	=	en-001
en-ky	=	en-001
en-lc	=	en-001
en-lr	=	en-001
en-ls	=	en-001
en-mg	=	en-150
en-mh	=	ceb
en-mo	=	en-001
en-mp	=	ceb
en-ms	=	en-150
en-mt	dddd, d MMMM yyyy	dd MMMM yyyy	dd/MM/yyyy	dd MMM yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-mu	=	en-150
en-mv	dddd d MMMM yyyy	d MMMM yyyy	d-M-yyyy	dd-MM-yyyy	dd/MM/yyyy	d-M-yy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-mw	=	en-001
en-my	=	en-001
en-na	=	en-001
en-nf	=	en-150
en-ng	=	en-150
en-nl	=	en-150
en-nr	=	en-150
en-nu	=	en-150
en-nz	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	d MMM yyyy	d/MM/yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-pg	=	en-001
en-ph	=	ceb
en-pk	dddd, d MMMM yyyy	d MMMM yyyy	dd/MM/yyyy	dd-MMM-yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
en-pn	=	en-150
en-pr	=	ceb
en-pw	=	en-001
en-rw	=	en-150
en-sb	=	en-001
en-sc	=	en-150
en-sd	=	en-001
en-se	dddd, d MMMM yyyy	d MMMM yyyy	yyyy-MM-dd	d MMM yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-sg	=	en-au
en-sh	=	en-150
en-si	=	en-150
en-sl	=	en-001
en-ss	=	en-001
en-sx	=	en-150
en-sz	=	en-001
en-tc	=	en-001
en-tk	=	en-150
en-to	=	en-001
en-tt	=	en-001
en-tv	=	en-150
en-tz	=	en-150
en-ug	=	en-150
en-um	=	ceb
en-us	=	ceb
en-us-posix	=	ceb
en-vc	=	en-001
en-vg	=	en-001
en-vi	=	ceb
en-vu	=	en-001
en-ws	=	en-001
en-za	dddd, dd MMMM yyyy	dd MMMM yyyy	yyyy/MM/dd	dd MMM yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
en-zm	=	en-001
en-zw	dddd, dd MMMM yyyy	dd MMMM yyyy	d/M/yyyy	dd MMM,yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
eo	dddd, 'la' d-'a' 'de' MMMM yyyy	yyyy-MMMM-dd	yyyy-MM-dd	yyyy-MMM-dd	yy-MM-dd	yyyy MMMM	MMMM d	HH:mm:ss	HH:mm
eo-001	=	eo
es	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM 'de' yyyy	d 'de' MMMM	H:mm:ss	H:mm
es-419	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-ar	=	es-419
es-bo	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM 'de' yyyy	d/M/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-br	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM 'de' yyyy	d 'de' MMMM	HH:mm:ss	HH:mm
es-bz	=	es-br
es-cl	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	dd-MM-yyyy	dd-MM-yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-co	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/MM/yyyy	d/MM/yy	d/M/yyyy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-cr	=	es-419
es-cu	=	es-419
es-do	=	es-419
es-ea	=	es
es-ec	=	es-419
es-es	=	es
es-gq	=	es
es-gt	=	es-co
es-hn	dddd dd 'de' MMMM 'de' yyyy	dd 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM yyyy	d/M/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-ic	=	es
es-mx	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	dd/MM/yyyy	d MMM yyyy	d/M/yyyy	dd/MM/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-ni	=	es-419
es-pa	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	MM/dd/yyyy	MM/dd/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-pe	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/MM/yyyy	d MMM yyyy	d/M/yyyy	d/MM/yy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-ph	=	es-419
es-pr	=	es-pa
es-py	=	es-419
es-sv	=	es-419
es-us	dddd, d 'de' MMMM 'de' yyyy	d 'de' MMMM 'de' yyyy	d/M/yyyy	d MMM yyyy	MMMM 'de' yyyy	d 'de' MMMM	h:mm:ss tt	h:mm tt
es-uy	=	es-419
es-ve	=	es-419
et	dddd, d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	d. MMM yyyy	d.M.yyyy	dd.MM.yy	MMMM yyyy	d. MMMM	HH:mm:ss	HH:mm
et-ee	=	et
eu	yyyy('e')'ko' MMMM'ren' d('a'), dddd	yyyy('e')'ko' MMMM'ren' d('a')	yyyy/M/d	yyyy('e')'ko' MMM d('a')	yy/M/d	yyyy('e')'ko' MMMM	MMMM'ren' d('a')	HH:mm:ss	HH:mm
eu-es	=	eu
ewo	=	dua
ewo-cm	=	dua
fa	yyyy MMMM d, dddd	d MMMM yyyy	yyyy/M/d	d MMM yyyy	yyyy MMMM	d MMMM	H:mm:ss	H:mm
fa-af	=	fa
fa-ir	=	fa
ff	dddd d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM, yyyy	yyyy-MM-dd	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
ff-adlm	dddd d MMMM⹁ yyyy	d MMMM⹁ yyyy	d-M-yyyy	d MMM⹁ yyyy	MMMM yyyy	d MMMM	HH:mm:ss	HH:mm
ff-adlm-bf	=	ff-adlm
ff-adlm-cm	=	ff-adlm
ff-adlm-gh	dddd d MMMM⹁ yyyy	d MMMM⹁ yyyy	d-M-yyyy	d MMM⹁ yyyy	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
ff-adlm-gm	=	ff-adlm-gh
ff-adlm-gn	=	ff-adlm
ff-adlm-gw	=	ff-adlm
ff-adlm-lr	=	ff-adlm-gh
ff-adlm-mr	=	ff-adlm-gh
ff-adlm-ne	=	ff-adlm
ff-adlm-ng	=	ff-adlm
ff-adlm-sl	=	ff-adlm-gh
ff-adlm-sn	=	ff-adlm
ff-latn	=	ff
ff-latn-bf	=	ff
ff-latn-cm	=	ff
ff-latn-gh	dddd d MMMM yyyy	d MMMM yyyy	d/M/yyyy	d MMM, yyyy	yyyy-MM-dd	MMMM yyyy	d MMMM	h:mm:ss tt	h:mm tt
ff-latn-gm	=	ff-latn-gh
ff-latn-gn	=	ff
ff-latn-gw	=	ff
ff-latn-lr	=	ff-latn-gh
ff-latn-mr	=	ff-latn-gh
ff-latn-ne	=	ff
ff-latn-ng	=	ff
ff-latn-sl	=	ff-latn-gh
ff-latn-sn	=	ff
fi	dddd d. MMMM yyyy	d. MMMM yyyy	d.M.yyyy	MMMM yyyy	d. MMMM	H.mm.ss	H.mm
fi-fi	=	fi
fil	=	ceb
fil-ph	=	ceb
fo	dddd, d. MMMM yyyy	d. MMMM yyyy	dd.MM.yyyy	dd.MM.yy	MMMM yyyy	d. MMMM	HH:mm:ss	HH:mm
fo-dk	=	fo
fo-fo	=	fo
fr	=	br
