bg-BG	3	,	 	3	1	лв.	2	,	 	3	3	8	%	3	,	 	3	1	1	-	+	NaN	∞	-∞	‰
bgc	3	.	,	3	1	¤	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bgc-IN	3	.	,	3	1	₹	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bho	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bho-IN	3	.	,	3	1	₹	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
blo	3	,	 	3	1	¤	2	,	 	3	2	12	%	3	,	 	3	3	10	-	+	NaN	∞	-∞	‰
blo-BJ	3	,	 	3	1	F CFA	0	,	 	3	2	12	%	3	,	 	3	3	10	-	+	NaN	∞	-∞	‰
bm	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bm-ML	3	.	,	3	1	F CFA	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bn	3	.	,	3,2	1	¤	2	.	,	3,2	1	5	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
bn-BD	3	.	,	3,2	1	৳	2	.	,	3,2	1	5	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
bn-IN	3	.	,	3,2	1	₹	2	.	,	3,2	0	1	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
bo	3	.	,	3	1	¤	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bo-CN	3	.	,	3	1	¥	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
bo-IN	3	.	,	3	1	₹	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
br	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
br-FR	3	,	 	3	1	€	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
brx	3	.	,	3,2	1	¤	2	.	,	3,2	2	9	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
brx-IN	3	.	,	3,2	1	₹	2	.	,	3,2	2	9	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
bs	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
bs-Cyrl	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
bs-Cyrl-BA	3	,	.	3	1	КМ	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
bs-Latn	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
bs-Latn-BA	3	,	.	3	1	KM	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
ca	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
ca-AD	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
ca-ES	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
ca-FR	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
ca-IT	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
ccp	3	.	,	3,2	1	¤	2	.	,	3,2	1	5	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
ccp-BD	3	.	,	3,2	1	৳	2	.	,	3,2	1	5	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
ccp-IN	3	.	,	3,2	1	₹	2	.	,	3,2	1	5	%	3	.	,	3,2	1	1	-	+	NaN	∞	-∞	‰
ce	3	.	,	3	1	¤	2	.	,	3	3	8	%	3	.	,	3	0	0	-	+	Терхьаш дац	∞	-∞	‰
ce-RU	3	.	,	3	1	₽	2	.	,	3	3	8	%	3	.	,	3	0	0	-	+	Терхьаш дац	∞	-∞	‰
ceb	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
ceb-PH	3	.	,	3	1	₱	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
cgg	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
cgg-UG	3	.	,	3	1	USh	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
chr	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
chr-US	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
ckb	3	٫	٬	3	1	¤	2	٫	٬	3	3	8	٪	3	٫	٬	3	0	0	‏-	‏+	NaN	∞	‏-∞	؉
ckb-IQ	3	٫	٬	3	1	د.ع.‏	0	٫	٬	3	3	8	٪	3	٫	٬	3	0	0	‏-	‏+	NaN	∞	‏-∞	؉
ckb-IR	3	٫	٬	3	1	IRR	0	٫	٬	3	3	8	٪	3	٫	٬	3	0	0	‏-	‏+	NaN	∞	‏-∞	؉
cs	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
cs-CZ	3	,	 	3	1	Kč	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
csw	3	.	,	3	1	¤	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
csw-CA	3	.	,	3	1	CA$	2	.	,	3	2	9	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
cv	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
cv-RU	3	,	 	3	1	₽	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
cy	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
cy-GB	3	.	,	3	1	£	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
da	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
da-DK	3	,	.	3	1	kr.	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
da-GL	3	,	.	3	1	kr.	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
dav	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
dav-KE	3	.	,	3	1	Ksh	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
de	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
de-AT	3	,	 	3	1	€	2	,	.	3	2	9	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
de-BE	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
de-CH	3	.	’	3	1	CHF	2	.	’	3	2	2	%	3	.	’	3	1	1	-	+	NaN	∞	-∞	‰
de-DE	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
de-IT	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
de-LI	3	.	’	3	1	CHF	2	.	’	3	2	9	%	3	.	’	3	1	1	-	+	NaN	∞	-∞	‰
de-LU	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
dje	3	.	 	3	1	¤	2	.	 	3	1	5	%	3	.	 	3	1	1	-	+	NaN	∞	-∞	‰
dje-NE	3	.	 	3	1	F CFA	0	.	 	3	1	5	%	3	.	 	3	1	1	-	+	NaN	∞	-∞	‰
doi	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
doi-IN	3	.	,	3	1	₹	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
dsb	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
dsb-DE	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
dua	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
dua-CM	3	,	 	3	1	FCFA	0	,	 	3	3	8	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
dyo	3	,	 	3	1	¤	2	,	 	3	3	8	%	3	,	 	3	1	1	-	+	NaN	∞	-∞	‰
dyo-SN	3	,	 	3	1	F CFA	0	,	 	3	3	8	%	3	,	 	3	1	1	-	+	NaN	∞	-∞	‰
dz	3	.	,	3,2	1	¤	2	.	,	3,2	0	1	%	3	.	,	3,2	0	0	-	+	ཨང་མད	གྲངས་མེད	-གྲངས་མེད	‰
dz-BT	3	.	,	3,2	1	Nu.	2	.	,	3,2	0	1	%	3	.	,	3,2	0	0	-	+	ཨང་མད	གྲངས་མེད	-གྲངས་མེད	‰
ebu	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
ebu-KE	3	.	,	3	1	Ksh	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
ee	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	mnn	∞	-∞	‰
ee-GH	3	.	,	3	1	GH₵	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	mnn	∞	-∞	‰
ee-TG	3	.	,	3	1	F CFA	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	mnn	∞	-∞	‰
el	3	,	.	3	1	¤	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
el-CY	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
el-GR	3	,	.	3	1	€	2	,	.	3	3	8	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
en	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-001	3	.	,	3	1	¤	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-150	3	.	,	3	1	¤	2	.	,	3	3	8	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-AE	3	.	,	3	1	AED	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-AG	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-AI	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-AS	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-AT	3	,	.	3	1	€	2	,	.	3	2	9	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
en-AU	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BB	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BE	3	,	.	3	1	€	2	.	,	3	0	1	%	3	,	.	3	1	1	-	+	NaN	∞	-∞	‰
en-BI	3	.	,	3	1	FBu	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BM	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BS	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BW	3	.	,	3	1	P	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-BZ	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CA	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CC	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CH	3	.	’	3	1	CHF	2	.	’	3	2	2	%	3	.	’	3	1	1	-	+	NaN	∞	-∞	‰
en-CK	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CM	3	.	,	3	1	FCFA	0	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CX	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-CY	3	.	,	3	1	€	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-DE	3	,	.	3	1	€	2	.	,	3	0	1	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
en-DG	3	.	,	3	1	US$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-DK	3	,	.	3	1	kr.	2	,	.	3	3	8	%	3	,	.	3	0	0	-	+	NaN	∞	-∞	‰
en-DM	3	.	,	3	1	$	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-ER	3	.	,	3	1	Nfk	2	.	,	3	0	1	%	3	.	,	3	1	1	-	+	NaN	∞	-∞	‰
en-FI	3	,	 	3	1	€	2	.	,	3	0	1	%	3	,	 	3	0	0	-	+	NaN	∞	-∞	‰
